M,Beamwidth3dB_deg,SidelobeLevel_linear,SidelobeLevel_dB,SidelobeDistance_deg,PhiSidelobe_deg
4,26.3229514975497,0.272165523646617,-11.3033377912011,47.08,-47.08
8,12.8025247929191,0.229156724085585,-12.7973478968656,21.07,-21.07
16,6.35872467458379,0.220119318682497,-13.1468368019069,10.31,-10.31
128,0.793086050147465,0.217277770481426,-13.2596940747022,1.28,-1.28
